出口国,进口国,税则号,商品名称,关税
US,CN,0106391020,改良种用鸽、鹌鹑改良种用其他鸟其他活动物,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106391090,其他改良种用的鸟,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01063921,食用乳鸽,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106392310,食用濒危野鸭食用野鸭食用其他鸟其他活动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106392390,食用非濒危野鸭食用野鸭食用其他鸟其他活动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106392910,其他食用濒危鸟,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106392990,其他食用鸟,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106399010,其他濒危鸟,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106399090,其他鸟,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01064110,改良种用蜂,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01064190,其他蜂,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106491010,其他改良种用濒危昆虫,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106491090,其他改良种用非濒危昆虫,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
